Название вакансии,Название компании,Зарплата,Ссылка на вакансию
Программист — разработчик (Junior),Программист — разработчик (Junior),"от 70 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117088395?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Программист,"от 60 000 ₽ за месяц, до вычета налогов",https://ufa.hh.ru/vacancy/117570837?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Web-разработчик/Веб-программист,Web-разработчик/Веб-программист,"60 000 – 120 000 ₽ за месяц, до вычета налогов",https://ufa.hh.ru/vacancy/113700964?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Программист,"110 000 – 150 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117517526?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик-программист (Middle),Разработчик-программист (Middle),"от 130 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117088145?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Веб разработчик (Full Stack) в Уфе,Веб разработчик (Full Stack) в Уфе,"80 000 – 150 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117507357?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 2 кат.,Инженер-программист 2 кат.,"от 50 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117617202?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,Программист-разработчик,"30 – 150 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117088871?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C (Junior),Программист 1C (Junior),"от 100 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117428137?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-разработчик,PHP-разработчик,"80 000 – 150 000 ₽ за месяц, до вычета налогов",https://ufa.hh.ru/vacancy/117094134?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Верхнего уровня,Программист Верхнего уровня,"от 140 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/116317954?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1C (Senior),Программист-разработчик 1C (Senior),"от 300 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117485526?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Программист 1С,"от 200 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117572848?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-Программист Delphi/Oracle,Инженер-Программист Delphi/Oracle,"80 000 – 150 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/116737856?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C# Junior,Программист C# Junior,"от 30 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117041258?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист в области АСУ ТП,Программист в области АСУ ТП,"от 80 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117093726?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Программист 1С,"69 300 – 130 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117153066?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Программист 1С,"от 100 000 ₽ за месяц, на руки",https://ufa.hh.ru/vacancy/117433377?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
